model,cycle_phase,n_patients,n_controls,n_endometriosis,roc_auc,average_precision,mean_probability_control,mean_probability_endometriosis
frozen_signature_12,All,111,34,77,0.8766233766233765,0.914771687008398,0.3345845017797856,0.6321640262793908
frozen_signature_12,Early_Secretory,24,6,18,0.7962962962962963,0.849305589858659,0.3929700775842854,0.635345899229491
frozen_signature_12,Mid_Secretory,36,8,28,0.8392857142857143,0.9560226040451928,0.4825683004510926,0.6492109723893211
frozen_signature_12,Proliferative,49,20,29,0.9103448275862068,0.933209271728698,0.2578753095699129,0.6202577107101195
frozen_signature_12_plus_cycle,All,111,34,77,0.8750954927425516,0.9147726301286394,0.3237631134399191,0.6450816291020464
frozen_signature_12_plus_cycle,Early_Secretory,24,6,18,0.8055555555555556,0.8512818744436392,0.3841363832652039,0.6441237785844225
frozen_signature_12_plus_cycle,Mid_Secretory,36,8,28,0.8214285714285715,0.9492992012925358,0.478555692097105,0.6574687659297868
frozen_signature_12_plus_cycle,Proliferative,49,20,29,0.9155172413793105,0.940156174010695,0.2437341010294592,0.6403087514083599
